,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
0,17.0,8.6,8.4,542.0,2.7,3000.0,9000.0
1,30.0,7.8,8.3,492.0,2.8,1500.0,4600.0
2,36.0,7.8,9.3,647.0,2.8,5000.0,16000.0
3,33.0,6.0,8.2,750.0,2.9,2600.0,5000.0
4,34.0,7.0,8.6,562.0,2.4,9200000.0,16000000.0
5,34.0,7.3,8.2,622.0,2.3,21000.0,29000.0
6,35.0,6.8,9.0,512.0,2.8,28000.0,160000.0
7,33.0,5.2,8.6,550.0,2.0,160000.0,160000.0
8,,,,,,,
9,32.0,7.2,8.1,490.0,2.9,9000.0,24000.0
10,34.0,7.1,8.2,557.0,2.9,9200.0,24000.0
11,40.0,7.4,9.1,559.0,3.0,16000.0,24000.0
12,30.0,6.5,8.3,550.0,3.0,9000.0,24000.0
13,33.0,6.5,8.8,644.0,2.9,1700000.0,3500000.0
14,,,,,,,
15,30.0,5.8,8.0,336.0,2.7,3000.0,5000.0
16,28.0,7.4,8.0,316.0,2.6,3000.0,9000.0
17,28.0,7.5,8.0,375.0,2.7,5000.0,16000.0
18,29.0,6.9,7.9,519.0,2.8,3000.0,8000.0
19,31.0,6.4,7.9,398.0,2.8,27000.0,110000.0
20,33.0,6.2,8.2,384.0,2.7,21000.0,35000.0
21,32.0,5.8,8.5,436.0,2.5,28000.0,160000.0
22,30.0,5.1,8.3,394.0,2.9,160000.0,160000.0
23,,,,,,,
24,28.0,6.0,8.0,362.0,2.8,1700.0,5000.0
25,26.0,7.6,8.0,297.0,2.6,2200.0,5400.0
26,28.0,7.6,8.1,388.0,2.5,2200.0,9000.0
27,26.0,7.1,8.1,455.0,2.8,2200.0,5000.0
28,32.0,6.8,8.0,975.0,2.8,27000.0,92000.0
29,32.0,6.0,8.2,538.0,2.8,21000.0,29000.0
30,34.0,6.0,8.6,500.0,2.7,35000.0,160000.0
31,32.0,4.3,8.4,493.0,3.4,160000.0,160000.0
32,,,,,,,
33,32.0,6.0,7.8,358.0,6.9,90000.0,160000.0
34,32.0,4.4,8.1,385.0,8.7,900000.0,1600000.0
35,32.0,3.8,8.3,422.0,7.2,140000.0,280000.0
36,31.0,5.0,8.3,376.0,5.3,220000.0,280000.0
37,32.0,5.7,8.2,380.0,7.3,300000.0,850000.0
38,32.0,5.6,8.6,362.0,5.8,280000.0,350000.0
39,37.0,4.9,8.5,380.0,4.8,300000.0,500000.0
40,32.0,5.3,8.85,410.0,4.95,140000.0,300000.0
41,,,,,,,
42,52.0,5.4,7.9,359.0,5.1,500000.0,900000.0
43,32.0,4.5,8.1,413.0,8.5,500000.0,900000.0
44,34.0,4.1,8.5,365.0,6.6,140000.0,220000.0
45,33.0,4.7,8.3,388.0,5.5,220000.0,280000.0
46,32.0,4.1,8.4,363.0,5.2,220000.0,280000.0
47,32.5,4.8,8.5,376.0,4.8,170000.0,280000.0
48,33.0,4.2,8.5,384.0,6.8,220000.0,900000.0
49,32.0,4.4,8.7,373.0,6.7,170000.0,350000.0
50,,,,,,,
51,30.0,4.5,8.2,408.0,7.5,650000.0,2500000.0
52,31.0,5.0,8.9,436.0,4.8,1200000.0,1500000.0
53,34.0,3.0,8.2,374.0,7.1,700000.0,1400000.0
54,36.0,3.1,8.3,411.0,9.7,300000.0,500000.0
55,34.0,4.0,8.1,402.0,6.6,300000.0,500000.0
56,33.0,4.4,8.2,517.0,4.7,500000.0,900000.0
57,34.0,3.8,9.0,522.0,5.3,900000.0,1600000.0
58,34.0,3.7,7.98,589.0,5.3,140000.0,700000.0
59,,,,,,,
60,30.0,3.6,8.1,412.0,8.4,220000.0,500000.0
61,33.0,4.0,8.8,744.0,5.8,130000.0,300000.0
62,34.0,2.9,8.5,1018.0,5.1,240000.0,500000.0
63,32.0,2.5,8.2,783.1,6.5,110000.0,220000.0
64,33.0,4.0,8.2,6482.0,4.3,130000.0,170000.0
65,33.0,4.2,8.2,531.0,4.6,170000.0,220000.0
66,35.0,4.0,8.0,826.0,5.4,110000.0,220000.0
67,33.0,3.9,7.98,623.0,3.9,70000.0,110000.0
