,TEMPERATURE,D.O.,pH,CONDUCTIVITY ,B.O.D.,NITRATE- N+ NITRITE-N,FECAL COLIFORM,TOTAL COLIFORM 
0,5.2,8.6,8.5,126.0,0.7,0.0,220.0,220.0
1,15.4,8.7,8.1,124.0,0.7,0.0,790.0,1700.0
2,16.0,8.6,8.1,183.0,1.4,0.0,78.0,230.0
3,17.1,9.0,8.2,170.0,1.2,0.0,40.0,140.0
4,16.8,8.6,8.3,151.0,1.6,0.0,45.0,330.0
5,16.8,8.6,7.9,175.4,1.5,0.0,189.4,32.0
6,20.0,6.7,7.9,199.8,5.5,0.0,333.8,1283.0
7,19.0,6.5,7.8,224.2,5.2,0.0,478.20000000000005,1245.0
8,15.0,7.9,8.1,248.6,2.5,0.0,622.6,235.0
9,21.9,9.0,7.4,273.0,2.9,1.0,767.0,1402.0
10,22.68,8.84,7.4,241.0,2.6,0.0,855.6,1936.6
11,23.46,8.68,7.4,243.0,2.5,0.0,944.2,2471.2
12,24.240000000000002,8.52,7.4,243.0,2.4,0.0,1032.8,3005.8
13,25.02,8.36,7.5,257.0,2.4,0.0,1121.4,3540.4
14,25.8,8.2,8.0,45.0,4.0,3.0,1210.0,4075.0
15,25.3,7.9,8.1,44.0,4.2,2.0,1569.0,4638.0
16,25.6,8.5,8.1,41.0,3.2,2.0,1300.0,3792.0
17,25.6,8.3,8.1,37.0,3.4,2.0,1438.0,6992.0
18,25.6,6.8,8.1,59.0,6.7,3.0,13292.0,70462.0
19,19.1,8.3,7.8,212.0,3.6,1.0,4645.0,7591.0
20,19.1,8.4,7.8,208.0,3.4,1.0,4400.0,7355.0
21,24.7,8.5,8.2,367.0,3.6,2.0,5033.0,21417.0
22,24.3,8.4,8.2,374.0,3.4,2.0,16100.0,22417.0
23,24.7,8.2,8.3,429.0,3.6,3.0,6475.0,24333.0
24,26.2,8.8,7.9,362.0,2.6,2.0,1441.0,3542.0
25,27.2,8.4,7.9,365.0,3.1,2.0,2808.0,4600.0
26,23.2,8.4,8.2,291.0,3.0,0.0,5500.0,8833.0
27,23.2,7.9,8.5,327.0,4.6,1.64,34500.0,49500.0
28,23.6,7.9,8.4,336.0,3.7,0.0,15167.0,22500.0
29,17.0,8.6,8.4,387.0,2.7,0.0,1913.0,5250.0
30,26.5,7.9,8.0,391.0,2.7,0.0,4925.0,13143.0
31,24.9,8.0,8.1,341.0,2.6,0.0,2356.0,5378.0
32,23.2,8.0,7.8,161.0,2.2,0.0,650.0,1733.0
33,25.7,8.3,8.1,304.0,2.5,0.0,1729.0,3929.0
34,25.1,7.8,7.9,350.0,2.7,0.0,7378.0,19571.0
35,25.2,7.9,7.8,357.0,2.8,0.0,5222.0,14143.0
36,25.7,7.7,7.9,444.0,4.0,0.0,1713.0,3463.0
37,25.3,8.1,7.8,351.0,2.5,0.0,2300.0,6700.0
38,24.1,7.9,8.0,288.0,2.5,0.0,1410.0,3280.0
39,24.5,7.8,7.9,330.0,2.8,0.0,5000.0,14250.0
40,26.1,7.6,7.9,286.0,2.5,0.0,1645.0,3455.0
41,26.1,7.8,7.8,287.0,2.6,0.0,1418.0,3200.0
42,25.2,7.6,7.8,303.0,2.7,0.0,2673.0,6818.0
43,25.3,7.8,8.0,263.0,2.7,0.0,3055.0,7909.0
44,26.3,8.0,8.0,383.0,2.6,0.0,2750.0,9500.0
45,24.8,8.0,8.0,336.0,2.6,0.0,1889.0,6378.0
46,25.2,7.9,8.0,285.0,2.4,0.0,1309.0,2927.0
47,26.5,7.8,8.0,275.0,2.4,0.0,1191.0,2718.0
48,26.0,7.8,7.9,287.0,2.5,0.0,1245.0,2555.0
49,25.1,7.7,7.9,298.0,2.6,0.0,1355.0,3164.0
50,25.3,8.0,7.9,354.0,2.6,0.0,1722.0,4822.0
51,27.2,7.5,8.0,287.0,2.4,0.0,1083.0,2700.0
52,26.5,7.4,7.6,295.0,5.6,1.0,15071.0,28547.0
53,27.7,7.1,7.5,296.0,3.4,1.0,14344.0,26306.0
54,27.1,6.6,8.0,284.0,2.0,2.0,31038.0,42482.0
55,29.3,7.1,7.5,288.0,3.5,1.0,146000.0,248588.0
56,26.8,5.8,7.7,309.0,3.8,4.0,253188.0,381824.0
57,26.7,5.9,7.8,292.0,3.9,1.0,425313.0,1075588.0
58,25.9,6.0,7.7,304.0,3.5,1.0,237059.0,855882.0
59,25.6,6.1,7.9,301.0,4.0,2.0,300294.0,942941.0
60,25.7,5.4,7.7,314.0,3.3,1.0,69500.0,189706.0
61,26.7,6.3,7.8,1437.0,2.5,1.0,32824.0,99647.0
